VariableCode,RegionCode,YearCode,AggValue
rgdpna,ESP,1969,532853.31250000000000000
rgdpna,ESP,1970,553603.93750000000000000
rgdpna,ESP,1971,579343.56250000000000000
rgdpna,ESP,1972,626558.62500000000000000
rgdpna,ESP,1973,675357.93750000000000000
rgdpna,ESP,1974,713304.81250000000000000
rgdpna,ESP,1975,717172.37500000000000000
rgdpna,ESP,1976,740866.25000000000000000
rgdpna,ESP,1977,761896.25000000000000000
rgdpna,ESP,1978,773042.81250000000000000
rgdpna,ESP,1979,773364.00000000000000000
rgdpna,ESP,1980,790445.50000000000000000
rgdpna,ESP,1981,789398.43750000000000000
rgdpna,ESP,1982,799238.06250000000000000
rgdpna,ESP,1983,813385.50000000000000000
rgdpna,ESP,1984,827901.81250000000000000
rgdpna,ESP,1985,847121.00000000000000000
rgdpna,ESP,1986,874680.62500000000000000
rgdpna,ESP,1987,923200.18750000000000000
rgdpna,ESP,1988,970231.06250000000000000
rgdpna,ESP,1989,1017064.37500000000000000
rgdpna,ESP,1990,1055523.50000000000000000
rgdpna,ESP,1991,1082397.12500000000000000
rgdpna,ESP,1992,1092455.00000000000000000
rgdpna,ESP,1993,1081186.37500000000000000
rgdpna,ESP,1994,1106953.25000000000000000
rgdpna,ESP,1995,1137477.37500000000000000
rgdpna,ESP,1996,1167740.25000000000000000
rgdpna,ESP,1997,1210976.75000000000000000
rgdpna,ESP,1998,1264175.37500000000000000
rgdpna,ESP,1999,1320943.12500000000000000
rgdpna,ESP,2000,1390239.62500000000000000
rgdpna,ESP,2001,1444917.12500000000000000
rgdpna,ESP,2002,1484378.12500000000000000
rgdpna,ESP,2003,1528640.75000000000000000
rgdpna,ESP,2004,1576377.00000000000000000
rgdpna,ESP,2005,1633946.87500000000000000
rgdpna,ESP,2006,1700983.25000000000000000
rgdpna,ESP,2007,1762298.37500000000000000
rgdpna,ESP,2008,1777932.50000000000000000
rgdpna,ESP,2009,1711024.75000000000000000
rgdpna,ESP,2010,1713814.00000000000000000
rgdpna,ESP,2011,1699857.12500000000000000
rgdpna,ESP,2012,1649550.75000000000000000
rgdpna,ESP,2013,1625873.25000000000000000
rgdpna,ESP,2014,1648373.87500000000000000
rgdpna,ESP,2015,1711591.87500000000000000
rgdpna,ESP,2016,1763475.25000000000000000
rgdpna,ESP,2017,1815914.87500000000000000
rgdpna,ESP,2018,1860042.37500000000000000
rgdpna,ESP,2019,1896315.37500000000000000
rnna,ESP,1950,640897.75000000000000000
rnna,ESP,1951,670740.18750000000000000
rnna,ESP,1952,694461.62500000000000000
rnna,ESP,1953,719757.56250000000000000
rnna,ESP,1954,758050.56250000000000000
rnna,ESP,1955,801294.87500000000000000
rnna,ESP,1956,850274.68750000000000000
rnna,ESP,1957,901391.06250000000000000
rnna,ESP,1958,958375.06250000000000000
rnna,ESP,1959,990159.56250000000000000
rnna,ESP,1960,1031461.56250000000000000
rnna,ESP,1961,1097891.62500000000000000
rnna,ESP,1962,1186315.62500000000000000
rnna,ESP,1963,1282822.37500000000000000
rnna,ESP,1964,1384215.62500000000000000
rnna,ESP,1965,1506266.75000000000000000
rnna,ESP,1966,1644525.75000000000000000
rnna,ESP,1967,1775669.25000000000000000
rnna,ESP,1968,1915861.50000000000000000
rnna,ESP,1969,2086379.62500000000000000
rnna,ESP,1970,2245714.75000000000000000
rnna,ESP,1971,2390138.00000000000000000
rnna,ESP,1972,2563363.00000000000000000
rnna,ESP,1973,2763126.50000000000000000
rnna,ESP,1974,2970636.25000000000000000
rnna,ESP,1975,3151051.25000000000000000
rnna,ESP,1976,3319836.50000000000000000
rnna,ESP,1977,3478564.75000000000000000
rnna,ESP,1978,3623816.00000000000000000
rnna,ESP,1979,3751188.25000000000000000
rnna,ESP,1980,3876985.75000000000000000
rnna,ESP,1981,3994108.50000000000000000
rnna,ESP,1982,4109549.00000000000000000
rnna,ESP,1983,4217586.50000000000000000
rnna,ESP,1984,4309228.00000000000000000
rnna,ESP,1985,4413386.00000000000000000
rnna,ESP,1986,4539508.00000000000000000
rnna,ESP,1987,4692446.00000000000000000
rnna,ESP,1988,4876375.50000000000000000
rnna,ESP,1989,5088939.50000000000000000
rnna,ESP,1990,5312205.50000000000000000
rnna,ESP,1991,5528980.00000000000000000
rnna,ESP,1992,5718562.00000000000000000
rnna,ESP,1993,5866663.00000000000000000
rnna,ESP,1994,6017056.50000000000000000
rnna,ESP,1995,6189095.00000000000000000
rnna,ESP,1996,6362833.50000000000000000
rnna,ESP,1997,6548293.00000000000000000
rnna,ESP,1998,6765434.50000000000000000
rnna,ESP,1999,7011161.00000000000000000
rnna,ESP,2000,7275641.00000000000000000
rnna,ESP,2001,7545500.00000000000000000
rnna,ESP,2002,7823400.00000000000000000
rnna,ESP,2003,8124989.50000000000000000
rnna,ESP,2004,8439837.00000000000000000
rnna,ESP,2005,8782042.00000000000000000
rnna,ESP,2006,9153330.00000000000000000
rnna,ESP,2007,9534233.00000000000000000
rnna,ESP,2008,9868220.00000000000000000
rnna,ESP,2009,10076962.00000000000000000
rnna,ESP,2010,10251348.00000000000000000
rnna,ESP,2011,10379542.00000000000000000
rnna,ESP,2012,10466117.00000000000000000
rnna,ESP,2013,10531074.00000000000000000
rnna,ESP,2014,10610865.00000000000000000
rnna,ESP,2015,10707766.00000000000000000
rnna,ESP,2016,10807956.00000000000000000
rnna,ESP,2017,10934969.00000000000000000
rnna,ESP,2018,11086746.00000000000000000
rnna,ESP,2019,11244754.00000000000000000
